#>
## \todo year
# This file contains the AGGF computed by Huang et al. (1992)  
#phi[deg]   GN[muGal/mb]   dGN/dT[muGal/mb/degC]   dGN/dh[muGal/mb/m]  dGN/dz[muGal/mb/m]
  0.00001 -4910.0951 17.070873  0.474041 -0.000386
  0.00005 -4897.7677 16.980798  0.472547 -0.000386
  0.00010 -4881.0602 16.872724  0.471243 -0.000386
  0.00050 -4774.2980 16.198245  0.462921 -0.000386
  0.00100 -4666.4879 15.533567  0.454416 -0.000386
  0.00250 -4407.5955 13.985643  0.433680 -0.000386
  0.00500 -4074.0038 12.075392  0.406413 -0.000386
  0.00750 -3804.3077 10.595222  0.383951 -0.000386
  0.01000 -3574.5562  9.379095  0.364524 -0.000386
  0.01500 -3194.3564  7.459897  0.331769 -0.000386
  0.02000 -2886.2067  5.995044  0.304633 -0.000386
  0.02500 -2628.0900  4.836338  0.281462 -0.000386
  0.03000 -2407.2993  3.899653  0.261290 -0.000386
  0.04000 -2047.3600  2.495282  0.227619 -0.000386
  0.05000 -1765.4599  1.520037  0.200452 -0.000386
  0.06000 -1538.7217  0.831148  0.177990 -0.000386
  0.07000 -1352.8365  0.341129  0.159095 -0.000386
  0.08000 -1198.1959 -0.007529  0.142997 -0.000386
  0.09000 -1068.0238 -0.254295  0.129142 -0.000386
  0.10000  -957.3673 -0.427002  0.117123 -0.000386
  0.11000  -862.5060 -0.545611  0.106626 -0.000386
  0.12000  -780.5852 -0.624597  0.097406 -0.000386
  0.13000  -709.3758 -0.674544  0.089267 -0.000386
  0.14000  -647.1126 -0.703230  0.082052 -0.000386
  0.15000  -592.3803 -0.716398  0.075629 -0.000386
  0.16000  -544.0327 -0.718303  0.069891 -0.000386
  0.17500  -481.4781 -0.706730  0.062372 -0.000386
  0.18000  -462.9068 -0.700160  0.060119 -0.000386
  0.19000  -428.7146 -0.684214  0.055945 -0.000386
  0.20000  -398.0196 -0.665574  0.052169 -0.000386
  0.22500  -333.7905 -0.612957  0.044176 -0.000386
  0.25000  -283.4079 -0.558372  0.037818 -0.000386
  0.30000  -210.7228 -0.458102  0.028500 -0.000386
  0.37500  -143.5305 -0.341691  0.019730 -0.000386
  0.40000  -127.9165 -0.311230  0.017669 -0.000386
  0.42500  -114.6151 -0.284233  0.015907 -0.000386
  0.47500   -93.3314 -0.238995  0.013073 -0.000386
  0.50000   -84.7503 -0.220033  0.011926 -0.000386
  0.55000   -70.6425 -0.187936  0.010035 -0.000386
  0.60000   -59.6278 -0.162067  0.008552 -0.000386
  0.70000   -43.8062 -0.123636  0.006415 -0.000386
  0.75000   -38.0233 -0.109208  0.005632 -0.000386
  0.80000   -33.2338 -0.097100  0.004982 -0.000386
  0.85000   -29.2245 -0.086854  0.004437 -0.000386
  0.90000   -25.8359 -0.078115  0.003976 -0.000386
  0.95000   -22.9471 -0.070607  0.003582 -0.000386
  1.00000   -20.4651 -0.064113  0.003244 -0.000386
  1.10000   -16.4470 -0.053515  0.002696 -0.000386
  1.25000   -12.0867 -0.041895  0.002100 -0.000386
  1.30000   -10.9500 -0.038845  0.001945 -0.000386
  1.40000    -9.0238 -0.033657  0.001682 -0.000386
  1.50000    -7.4631 -0.029435  0.001468 -0.000386
  1.60000    -6.1813 -0.025955  0.001293 -0.000386
  1.75000    -4.6494 -0.021782  0.001083 -0.000386
  1.80000    -4.2208 -0.020611  0.001024 -0.000386
  1.90000    -3.4618 -0.018536  0.000920 -0.000386
  2.00000    -2.8126 -0.016757  0.000831 -0.000386
  2.50000    -0.6414 -0.010788  0.000533 -0.000386
  2.75000     0.0309 -0.008933  0.000441 -0.000386
  3.00000     0.5431 -0.007517  0.000371 -0.000386
  4.00000     1.7246 -0.004246  0.000209 -0.000386
  5.00000     2.2729 -0.002726  0.000133 -0.000386
  6.00000     2.5714 -0.001898  0.000092 -0.000386
  7.00000     2.7517 -0.001398  0.000068 -0.000386
  8.00000     2.8691 -0.001073  0.000052 -0.000386
  9.00000     2.9498 -0.000851  0.000041 -0.000386
 10.00000     3.0079 -0.000691  0.000033 -0.000386
 15.00000     3.1487 -0.000314  0.000014 -0.000387
 20.00000     3.2035 -0.000182  0.000008 -0.000388
 25.00000     3.2348 -0.000121  0.000005 -0.000389
 30.00000     3.2582 -0.000087  0.000003 -0.000390
 40.00000     3.2996 -0.000054  0.000001 -0.000394
 50.00000     3.3436 -0.000039  0.000001 -0.000399
 60.00000     3.3945 -0.000031  0.000000 -0.000404
 70.00000     3.4541 -0.000026  0.000000 -0.000411
 80.00000     3.5238 -0.000023 -0.000000 -0.000419
 90.00000     3.6045 -0.000022  0.000000 -0.000429
120.00000     3.9256 -0.000019 -0.000001 -0.000467
150.00000     4.4001 -0.000020 -0.000001 -0.000523
180.00000     5.1005 -0.000022 -0.000001 -0.000606
