# This file contains the AGGF computed by Merriam (1992)  
#phi[deg]   GN[muGal/mb]   dGN/dT[muGal/mb/degC]   dGN/dz[muGal/mb/km]   d2GN/dz2[muGal/mb]   GE[muGal/mb]
  0.00001        -4938.0                    17.1                  0.00               0.0024          61.50
  0.00005        -4896.0                    16.9                 -0.12               0.0024          61.48
   0.0001        -4879.0                    16.8                 -0.25               0.0024          61.47
   0.0005        -4772.0                    16.2                 -0.35               0.0024          61.28
    0.001        -4664.0                    15.5                 -0.50               0.0024          61.16
   0.0025        -4407.0                    14.0                 -0.75               0.0024          60.36
    0.005        -4074.0                    12.1                 -1.00               0.0024          59.57
   0.0075        -3805.0                    10.6                 -1.10               0.0024          58.78
     0.01        -3576.0                    9.38                 -1.20               0.0024          57.99
    0.015        -3197.0                    7.46                 -1.25               0.0024          56.31
     0.02        -2889.0                    6.00                 -1.30               0.0024          54.57
    0.025        -2632.0                    4.84                 -1.35               0.0024          52.95
     0.03        -2411.0                    3.91                 -1.39               0.0024          51.33
     0.04        -2052.0                    2.50                 -1.45               0.0024          48.33
     0.05        -1770.0                    1.52                 -1.50               0.0024          45.74
     0.06        -1544.0                   0.829                 -1.53               0.0024          43.14
     0.07        -1358.0                   0.337                 -1.53               0.0024          41.05
     0.08        -1203.0                  -0.014                 -1.52               0.0024          38.97
     0.09        -1073.0                  -0.262                 -1.50               0.0024          37.36
     0.10         -962.3                  -0.436                 -1.46               0.0025          35.75
     0.11         -867.3                  -0.555                 -1.29               0.0025          34.79
     0.12         -785.2                  -0.662                 -1.16               0.0025          33.84
     0.13         -713.9                  -0.684                 -1.04               0.0025          32.88
     0.14         -651.5                  -0.713                 -0.94               0.0025          31.92
     0.15         -596.6                  -0.726                 -0.86               0.0025          30.97
     0.16         -548.1                  -0.727                 -0.79               0.0025          30.46
    0.175         -485.3                  -0.715                 -0.72               0.0025          29.99
    0.180         -466.7                  -0.708                 -0.70               0.0025          29.67
    0.190         -432.2                  -0.691                 -0.67               0.0025          29.35
     0.20         -401.5                  -0.673                 -0.65               0.0025          29.02
    0.225         -336.9                  -0.619                 -0.60               0.0025          28.52
     0.25         -286.2                  -0.563                 -0.55               0.0025          28.01
    0.275         -245.8                  -0.511                 -0.51               0.0025          27.01
      0.3         -213.0                  -0.462                 -0.49               0.0025          26.01
    0.325         -186.2                  -0.419                 -0.47               0.0025          24.84
     0.35         -163.9                  -0.380                 -0.46               0.0025          23.66
    0.375         -145.3                  -0.345                 -0.45               0.0025          22.65
      0.4         -129.5                  -0.314                 -0.45               0.0025          21.64
    0.425         -116.1                  -0.287                 -0.45               0.0025          21.13
    0.450         -104.6                  -0.263                 -0.44               0.0025          20.28
    0.475         -94.59                  -0.241                 -0.44               0.0025          19.96
      0.5         -85.91                  -0.222                 -0.43               0.0025          19.60
     0.55         -71.64                  -0.190                 -0.42               0.0025          19.65
     0.60         -60.49                  -0.164                 -0.41               0.0025          19.70
     0.65         -51.63                  -0.142                 -0.41               0.0025          19.72
     0.70         -44.47                  -0.125                 -0.41               0.0025          19.73
     0.75         -38.61                  -0.110                 -0.41               0.0025          19.74
     0.80         -33.76                 -0.0980                 -0.40               0.0025          19.75
     0.85         -29.69                 -0.0876                 -0.40               0.0025          19.44
     0.90         -26.26                 -0.0788                 -0.40               0.0025          19.12
     0.95         -23.33                 -0.0712                 -0.40               0.0025          18.81
     1.00         -20.81                 -0.0647                 -0.40               0.0026          18.50
     1.10         -16.73                 -0.0540                 -0.40               0.0026          18.05
     1.25         -12.31                 -0.0423                 -0.40               0.0026          17.09
     1.30         -11.15                 -0.0392                 -0.40               0.0026          16.67
     1.40         -9.198                 -0.0339                 -0.39               0.0026          16.04
     1.50         -7.613                 -0.0297                 -0.39               0.0026          15.60
     1.60         -6.312                 -0.0262                 -0.39               0.0026          15.16
     1.75         -4.756                 -0.0220                 -0.39               0.0026          14.60
     1.80         -4.321                 -0.0208                 -0.39               0.0026          14.41
     1.90         -3.550                 -0.0187                 -0.39               0.0026          14.04
     2.00         -2.891                 -0.0169                 -0.39               0.0035          13.68
     2.50        -0.6851                 -0.0109                 -0.39               0.0035          11.83
     2.75        -0.0020                 -0.0899                 -0.39               0.0035          11.18
     3.00         0.5183                -0.00756                 -0.39               0.0035          10.54
     4.00          1.719                -0.00425                 -0.39               0.0035           8.50
     5.00          2.276                -0.00272                 -0.39               0.0062          7.171
     6.00          2.579                -0.00189                 -0.39               0.0089          6.268
     7.00          2.762                -0.00138                 -0.39                0.012          5.624
     8.00          2.882                -0.00105                 -0.39                0.016          5.264
     9.00          2.964               -0.000828                 -0.39                0.020          4.904
    10.00          3.023               -0.000667                 -0.39                0.025          4.543
    15.00          3.166               -0.000286                 -0.39                0.056          3.809
    20.00          3.221               -0.000152                 -0.39                 0.10          3.075
    25.00          3.253               -0.000091                 -0.39                 0.15          2.488
    30.00          3.277               -0.000057                 -0.39                 0.22          1.902
    40.00          3.319               -0.000023                 -0.39                 0.40          0.622
    50.00          3.363               -0.000008                 -0.40                0.622          0.416
    60.00          3.414               -0.000001                 -0.41                 0.85         -0.099
    70.00          3.474                0.000006                 -0.42                  1.2         -0.318
    80.00          3.544                0.000010                 -0.42                  1.6         -0.113
    90.00          3.625                0.000013                 -0.43                  2.0          0.265
   120.00          3.948                0.000018                 -0.47                  3.6          1.377
   150.00          4.426                0.000022                 -0.52                  8.4          2.331
   180.00          5.130                0.000026                 -0.61                 12.0          2.897
