 # This is set of AGGF computed using module aggf from grat software
 # Normalization according to Merriam92
 # Marcin Rajner
 # For detail see www.geo.republika.pl
              #psi[deg]       GN[microGal/hPa]  GN/dT[microGal/hPa/K]  GN/dh[microGal/hPa/m]  GN/dz[microGal/hPa/m]
       0.000010   -4916.092355      17.066035      45.508764     198.330684
       0.000050   -4899.005248      16.960118       0.747915       7.955964
       0.000100   -4882.172015      16.852432       0.471960       1.988883
       0.000500   -4775.510852      16.184188       0.462499       0.079187
       0.001000   -4667.848770      15.526721       0.453732       0.019507
       0.002500   -4409.311003      13.998465       0.433020       0.002797
       0.005000   -4076.163678      12.117953       0.405771       0.000410
       0.007500   -3806.811554      10.665390       0.383333      -0.000032
       0.010000   -3577.338855       9.475336       0.363932      -0.000187
       0.015000   -3197.563010       7.604392       0.331231      -0.000298
       0.020000   -2889.712934       6.182847       0.304147      -0.000336
       0.025000   -2631.808657       5.062386       0.281026      -0.000354
       0.030000   -2411.165787       4.158696       0.260900      -0.000364
       0.040000   -2051.384836       2.804254       0.227312      -0.000374
       0.050000   -1769.520076       1.858337       0.200213      -0.000378
       0.060000   -1542.739999       1.180697       0.177808      -0.000381
       0.070000   -1356.764139       0.687386       0.158961      -0.000382
       0.080000   -1202.002759       0.324653       0.142901      -0.000383
       0.090000   -1071.692170       0.056468       0.129078      -0.000384
       0.100000    -960.887784      -0.142131       0.117084      -0.000384
       0.110000    -865.874962      -0.288873       0.106607      -0.000384
       0.120000    -783.802671      -0.396595       0.097404      -0.000385
       0.130000    -712.444532      -0.474737       0.089279      -0.000385
       0.140000    -650.036890      -0.530329       0.082074      -0.000385
       0.150000    -595.165609      -0.568661       0.075660      -0.000385
       0.160000    -546.684881      -0.593746       0.069928      -0.000385
       0.175000    -483.942458      -0.613057       0.062417      -0.000385
       0.180000    -465.311793      -0.615754       0.060166      -0.000385
       0.190000    -431.005477      -0.616867       0.055995      -0.000386
       0.200000    -400.202461      -0.613416       0.052221      -0.000386
       0.225000    -335.728965      -0.591507       0.044231      -0.000386
       0.250000    -285.134928      -0.559060       0.037873      -0.000386
       0.275000    -244.773605      -0.522460       0.032743      -0.000386
       0.300000    -212.108729      -0.485170       0.028553      -0.000386
       0.325000    -185.334810      -0.449026       0.025092      -0.000386
       0.350000    -163.140152      -0.414942       0.022205      -0.000386
       0.375000    -144.554504      -0.383315       0.019774      -0.000386
       0.400000    -128.848575      -0.354251       0.017711      -0.000386
       0.425000    -115.466235      -0.327694       0.015946      -0.000386
       0.450000    -103.977840      -0.303510       0.014426      -0.000386
       0.475000     -94.047514      -0.281520       0.013108      -0.000386
       0.500000     -85.409831      -0.261539       0.011959      -0.000386
       0.550000     -71.206235      -0.226860       0.010063      -0.000386
       0.600000     -60.114103      -0.198109       0.008578      -0.000386
       0.650000     -51.296178      -0.174142       0.007394      -0.000386
       0.700000     -44.176772      -0.154035       0.006435      -0.000386
       0.750000     -38.350090      -0.137052       0.005650      -0.000386
       0.800000     -33.523789      -0.122612       0.004998      -0.000386
       0.850000     -29.483160      -0.110253       0.004451      -0.000386
       0.900000     -26.067775      -0.099610       0.003989      -0.000386
       0.950000     -23.155902      -0.090389       0.003595      -0.000386
       1.000000     -20.653882      -0.082357       0.003255      -0.000386
       1.100000     -16.602957      -0.069131       0.002705      -0.000386
       1.250000     -12.206575      -0.054458       0.002108      -0.000386
       1.300000     -11.060320      -0.050577       0.001952      -0.000386
       1.400000      -9.117873      -0.043945       0.001688      -0.000386
       1.500000      -7.543970      -0.038521       0.001473      -0.000386
       1.600000      -6.251238      -0.034032       0.001297      -0.000386
       1.750000      -4.706218      -0.028625       0.001087      -0.000386
       1.800000      -4.273930      -0.027104       0.001028      -0.000386
       1.900000      -3.508328      -0.024402       0.000923      -0.000386
       2.000000      -2.853490      -0.022081       0.000834      -0.000386
       2.500000      -0.663422      -0.014260       0.000535      -0.000386
       2.750000       0.014810      -0.011819       0.000443      -0.000386
       3.000000       0.531471      -0.009954       0.000372      -0.000386
       4.000000       1.723409      -0.005630       0.000209      -0.000386
       5.000000       2.276590      -0.003614       0.000134      -0.000386
       6.000000       2.577669      -0.002515       0.000093      -0.000386
       7.000000       2.759587      -0.001851       0.000068      -0.000386
       8.000000       2.877977      -0.001420       0.000052      -0.000386
       9.000000       2.959444      -0.001124       0.000041      -0.000386
      10.000000       3.018011      -0.000912       0.000033      -0.000387
      15.000000       3.160078      -0.000410       0.000014      -0.000387
      20.000000       3.215278      -0.000234       0.000008      -0.000388
      25.000000       3.246854      -0.000153       0.000005      -0.000389
      30.000000       3.270437      -0.000109       0.000003      -0.000391
      40.000000       3.312033      -0.000065       0.000001      -0.000394
      50.000000       3.356205      -0.000044       0.000001      -0.000399
      60.000000       3.407288      -0.000034       0.000000      -0.000404
      70.000000       3.467168      -0.000027       0.000000      -0.000411
      80.000000       3.537086      -0.000023      -0.000000      -0.000419
      90.000000       3.618144      -0.000020      -0.000000      -0.000429
     120.000000       3.940450      -0.000016      -0.000001      -0.000467
     150.000000       4.416804      -0.000016      -0.000001      -0.000523
     180.000000       5.119778      -0.000018      -0.000001      -0.000606
