# This is set of AGGF computed using module aggf from grat software
# Normalization according to Merriam92
# Marcin Rajner
              #psi[deg]       GN[microGal/hPa]  GN/dT[microGal/hPa/K]  GN/dh[microGal/hPa/m]  GN/dz[microGal/hPa/m]
       0.000010   -4916.121505      17.066238      45.509034     198.331860
       0.000050   -4899.034315      16.960320       0.747919       7.956012
       0.000100   -4882.201003      16.852633       0.471962       1.988894
       0.000500   -4775.539329      16.184385       0.462501       0.079187
       0.001000   -4667.876725      15.526912       0.453734       0.019507
       0.002500   -4409.337683      13.998644       0.433022       0.002797
       0.005000   -4076.188678      12.118116       0.405773       0.000410
       0.007500   -3806.835167      10.665541       0.383335      -0.000032
       0.010000   -3577.361266       9.475476       0.363934      -0.000187
       0.015000   -3197.583392       7.604515       0.331232      -0.000298
       0.020000   -2889.731631       6.182955       0.304149      -0.000336
       0.025000   -2631.825912       5.062484       0.281027      -0.000354
       0.030000   -2411.181786       4.158783       0.260902      -0.000364
       0.040000   -2051.398738       2.804325       0.227313      -0.000374
       0.050000   -1769.532286       1.858396       0.200214      -0.000378
       0.060000   -1542.750814       1.180746       0.177809      -0.000381
       0.070000   -1356.773785       0.687428       0.158962      -0.000382
       0.080000   -1202.011412       0.324688       0.142902      -0.000383
       0.090000   -1071.699972       0.056498       0.129078      -0.000384
       0.100000    -960.894852      -0.142105       0.117084      -0.000384
       0.110000    -865.881391      -0.288850       0.106608      -0.000384
       0.120000    -783.808539      -0.396575       0.097405      -0.000385
       0.130000    -712.449907      -0.474720       0.089280      -0.000385
       0.140000    -650.041830      -0.530314       0.082075      -0.000385
       0.150000    -595.170163      -0.568647       0.075660      -0.000385
       0.160000    -546.689089      -0.593734       0.069929      -0.000385
       0.175000    -483.946214      -0.613047       0.062417      -0.000385
       0.180000    -465.315414      -0.615745       0.060166      -0.000385
       0.190000    -431.008848      -0.616859       0.055995      -0.000386
       0.200000    -400.205605      -0.613409       0.052221      -0.000386
       0.225000    -335.731630      -0.591502       0.044231      -0.000386
       0.250000    -285.137211      -0.559056       0.037873      -0.000386
       0.275000    -244.775579      -0.522456       0.032743      -0.000386
       0.300000    -212.110451      -0.485168       0.028553      -0.000386
       0.325000    -185.336324      -0.449024       0.025092      -0.000386
       0.350000    -163.141492      -0.414940       0.022205      -0.000386
       0.375000    -144.555696      -0.383314       0.019774      -0.000386
       0.400000    -128.849642      -0.354249       0.017711      -0.000386
       0.425000    -115.467194      -0.327694       0.015946      -0.000386
       0.450000    -103.978707      -0.303509       0.014426      -0.000386
       0.475000     -94.048301      -0.281520       0.013108      -0.000386
       0.500000     -85.410548      -0.261538       0.011959      -0.000386
       0.550000     -71.206835      -0.226860       0.010063      -0.000386
       0.600000     -60.114612      -0.198109       0.008578      -0.000386
       0.650000     -51.296615      -0.174142       0.007394      -0.000386
       0.700000     -44.177149      -0.154035       0.006435      -0.000386
       0.750000     -38.350418      -0.137052       0.005650      -0.000386
       0.800000     -33.524077      -0.122612       0.004998      -0.000386
       0.850000     -29.483415      -0.110253       0.004451      -0.000386
       0.900000     -26.068001      -0.099610       0.003989      -0.000386
       0.950000     -23.156103      -0.090389       0.003595      -0.000386
       1.000000     -20.654062      -0.082357       0.003255      -0.000386
       1.100000     -16.603103      -0.069131       0.002705      -0.000386
       1.250000     -12.206684      -0.054458       0.002108      -0.000386
       1.300000     -11.060419      -0.050577       0.001952      -0.000386
       1.400000      -9.117955      -0.043945       0.001688      -0.000386
       1.500000      -7.544039      -0.038521       0.001473      -0.000386
       1.600000      -6.251296      -0.034032       0.001297      -0.000386
       1.750000      -4.706263      -0.028625       0.001087      -0.000386
       1.800000      -4.273971      -0.027104       0.001028      -0.000386
       1.900000      -3.508362      -0.024402       0.000923      -0.000386
       2.000000      -2.853519      -0.022081       0.000834      -0.000386
       2.500000      -0.663432      -0.014261       0.000535      -0.000386
       2.750000       0.014806      -0.011819       0.000443      -0.000386
       3.000000       0.531472      -0.009954       0.000372      -0.000386
       4.000000       1.723419      -0.005630       0.000209      -0.000386
       5.000000       2.276605      -0.003614       0.000134      -0.000386
       6.000000       2.577687      -0.002515       0.000093      -0.000386
       7.000000       2.759607      -0.001851       0.000068      -0.000386
       8.000000       2.877997      -0.001420       0.000052      -0.000386
       9.000000       2.959465      -0.001124       0.000041      -0.000386
      10.000000       3.018032      -0.000912       0.000033      -0.000387
      15.000000       3.160101      -0.000410       0.000014      -0.000387
      20.000000       3.215302      -0.000234       0.000008      -0.000388
      25.000000       3.246878      -0.000153       0.000005      -0.000389
      30.000000       3.270461      -0.000109       0.000003      -0.000391
      40.000000       3.312057      -0.000065       0.000001      -0.000394
      50.000000       3.356230      -0.000045       0.000001      -0.000399
      60.000000       3.407312      -0.000034       0.000000      -0.000404
      70.000000       3.467193      -0.000027       0.000000      -0.000411
      80.000000       3.537112      -0.000023      -0.000000      -0.000419
      90.000000       3.618171      -0.000020      -0.000000      -0.000429
     120.000000       3.940479      -0.000017      -0.000001      -0.000467
     150.000000       4.416836      -0.000016      -0.000001      -0.000523
     180.000000       5.119815      -0.000018      -0.000001      -0.000606
