                 psi              US1976            tropical  subtropical_summer  subtropical_winter    subarctic_summer    subarctic_winter
             0.00001         -4919.95239         -4725.50056         -4821.68742         -5207.80113         -4939.48530         -5512.60735
             0.00005         -4899.32879         -4705.34554         -4800.39041         -5184.64698         -4918.23550         -5485.06501
             0.00010         -4882.24367         -4688.56892         -4782.52718         -5165.18400         -4900.51284         -5461.40902
             0.00050         -4775.49026         -4583.80857         -4671.48017         -5044.10525         -4789.95705         -5316.64601
             0.00100         -4667.78311         -4478.23158         -4560.22869         -4922.71638         -4678.68817         -5174.57214
             0.00250         -4409.11104         -4225.05687         -4295.42531         -4633.49610         -4412.28724         -4844.82169
             0.00500         -4075.75871         -3899.58606         -3958.33847         -4264.83013         -4070.43306         -4438.05278
             0.00750         -3806.22240         -3637.21532         -3688.75416         -3969.79226         -3795.14013         -4120.46863
             0.01000         -3576.58382         -3414.37499         -3460.85223         -3720.48052         -3561.37267         -3855.95553
             0.01500         -3196.52353         -3047.22961         -3086.54185         -3311.79893         -3176.04732         -3427.34656
             0.02000         -2888.44209         -2751.28326         -2785.18277         -2983.83500         -2865.12598         -3086.09655
             0.02500         -2630.35010         -2504.51133         -2533.86704         -2711.10665         -2605.61322         -2803.26341
             0.03000         -2409.55578         -2294.18538         -2319.59728         -2479.06954         -2384.26236         -2562.92617
             0.04000         -2049.55791         -1952.61227         -1971.53635         -2102.89754         -2024.54645         -2173.34793
             0.05000         -1767.56248         -1685.98625         -1699.90002         -1809.83004         -1743.67952         -1869.62023
             0.06000         -1540.71303         -1471.89594         -1481.92790         -1574.97500         -1518.24278         -1626.05078
             0.07000         -1354.71144         -1296.47179         -1303.48778         -1382.97883         -1333.70985         -1426.86401
             0.08000         -1199.95528         -1150.48482         -1155.15481         -1223.62315         -1180.38546         -1261.54927
             0.09000         -1069.67167         -1027.47766         -1030.32468         -1089.74427         -1051.45970         -1122.71445
             0.10000          -958.90932          -922.76243          -924.19745          -976.12840          -941.96785         -1004.96056
             0.11000          -863.94869          -832.83799          -833.18517          -878.87265          -848.18724          -904.23393
             0.12000          -781.93516          -755.02995          -754.54527          -794.99084          -767.26488          -817.42600
             0.13000          -710.63974          -687.25734          -686.14290          -722.15768          -696.97564          -742.11259
             0.14000          -648.29684          -627.87582          -626.29095          -658.53601          -635.55892          -676.37683
             0.15000          -593.49095          -575.56889          -573.63892          -602.65638          -581.60464          -618.68509
             0.16000          -545.07525          -529.27052          -527.09378          -553.33095          -533.97155          -567.79774
             0.17500          -482.42820          -469.22464          -466.81642          -489.55968          -472.38098          -502.06340
             0.18000          -463.82850          -451.36493          -448.90826          -470.63745          -454.10476          -482.57153
             0.19000          -429.58267          -418.44053          -415.92023          -435.81084          -420.46652          -446.71256
             0.20000          -398.83800          -388.83505          -386.28689          -404.55888          -390.28085          -414.55240
             0.22500          -334.50040          -326.72850          -324.21631          -339.20070          -327.15548          -347.35282
             0.25000          -284.02780          -277.85288          -275.46285          -287.96340          -277.67522          -294.72903
             0.27500          -243.77417          -238.77120          -236.54058          -247.12002          -238.23984          -252.81768
             0.30000          -211.20446          -207.08151          -205.02125          -214.08453          -206.35002          -218.94315
             0.32500          -184.51456          -181.06637          -179.17375          -187.01945          -180.22939          -191.20741
             0.35000          -162.39412          -159.47314          -157.73875          -164.59177          -158.58918          -168.23553
             0.37500          -143.87413          -141.37212          -139.78367          -145.81664          -140.47721          -149.01292
             0.40000          -128.22640          -126.06243          -124.60683          -129.95452          -125.17851          -132.77850
             0.42500          -114.89576          -113.00828          -111.67274          -116.44188          -112.14838          -118.95286
             0.45000          -103.45343          -101.79486          -100.56738          -104.84364          -100.96632          -107.08900
             0.47500           -93.56426           -92.09729           -90.96691           -94.81985           -91.30385           -96.83791
