    distance        T0+0       T0+15       T0-45
     0.00001 -4916.12054 -4673.07611 -5824.99692
     0.00005 -4899.02950 -4657.46189 -5801.85052
     0.00010 -4882.19140 -4642.12453 -5778.84650
     0.00050 -4775.49179 -4544.74942 -5634.04112
     0.00100 -4667.78278 -4446.22831 -5489.02582
     0.00250 -4409.11065 -4208.95371 -5144.18474
     0.00500 -4075.75837 -3902.00150 -4705.75633
     0.00750 -3806.22209 -3652.91069 -4355.78057
     0.01000 -3576.58354 -3440.05949 -4060.74156
     0.01500 -3196.52330 -3086.46589 -3578.87905
     0.02000 -2888.44190 -2798.56393 -3194.40623
     0.02500 -2630.34994 -2556.42831 -2876.79829
     0.03000 -2409.55564 -2348.54240 -2608.53376
     0.04000 -2049.55782 -2007.97330 -2178.49523
     0.05000 -1767.56241 -1739.62367 -1848.61858
     0.06000 -1540.71298 -1522.60523 -1588.19975
     0.07000 -1354.71140 -1343.80196 -1378.30060
     0.08000 -1199.95526 -1194.37098 -1206.38544
     0.09000 -1069.67165 -1068.05035 -1063.74087
     0.10000  -958.90931  -960.24400  -944.08920
     0.11000  -863.94868  -867.48563  -842.78162
     0.12000  -781.93516  -787.10461  -756.29994
     0.13000  -710.63973  -717.00776  -681.93403
     0.14000  -648.29684  -655.53100  -617.56514
     0.15000  -593.49095  -601.33545  -561.51585
     0.16000  -545.07525  -553.33270  -512.44346
     0.17500  -482.42820  -491.03018  -449.59881
     0.18000  -463.82851  -472.48883  -431.08916
     0.19000  -429.58267  -438.29444  -397.19567
     0.20000  -398.83801  -407.53120  -366.98081
     0.22500  -334.50041  -342.94016  -304.44544
     0.25000  -284.02780  -292.04477  -256.09348
     0.27500  -243.77417  -251.29572  -218.01648
     0.30000  -211.20447  -218.21135  -187.54820
     0.32500  -184.51457  -191.01649  -162.82339
     0.35000  -162.39413  -168.41583  -142.50807
     0.37500  -143.87413  -149.44741  -125.62947
     0.40000  -128.22640  -133.38553  -111.46574
     0.42500  -114.89577  -119.67497   -99.47288
     0.45000  -103.45344  -107.88549   -89.23506
     0.47500   -93.56426   -97.67978   -80.43038
     0.50000   -84.96343   -88.79063   -72.80671
     0.55000   -70.82275   -74.14806   -60.34404
     0.60000   -59.78190   -62.68975   -50.67800
     0.65000   -51.00622   -53.56516   -43.03748
     0.70000   -43.92193   -46.18753   -36.89813
     0.75000   -38.12470   -40.14211   -31.89384
     0.80000   -33.32332   -35.12939   -27.76299
     0.85000   -29.30392   -30.92890   -24.31480
     0.90000   -25.90676   -27.37562   -21.40760
     0.95000   -23.01063   -24.34412   -18.93448
     1.00000   -20.52230   -21.73777   -16.81355
     1.10000   -16.49385   -17.51480   -13.38784
     1.25000   -12.12233   -12.92721    -9.68173
     1.30000   -10.98263   -11.73031    -8.71750
     1.40000    -9.05139    -9.70128    -7.08549
     1.50000    -7.48664    -8.05651    -5.76496
     1.60000    -6.20147    -6.70509    -4.68158
     1.75000    -4.66556    -5.08934    -3.38826
     1.80000    -4.23583    -4.63715    -3.02669
     1.90000    -3.47477    -3.83617    -2.38665
     2.00000    -2.82384    -3.15095    -1.83952
     2.50000    -0.64691    -0.85841    -0.01188
     2.75000     0.02722    -0.14817     0.55343
     3.00000     0.54075     0.39296     0.98386
     4.00000     1.72543     1.64162     1.97614
     5.00000     2.27523     2.22126     2.43636
     6.00000     2.57446     2.53676     2.68679
     7.00000     2.75527     2.72739     2.83811
     8.00000     2.87293     2.85144     2.93663
     9.00000     2.95390     2.93679     3.00446
    10.00000     3.01211     2.99814     3.05326
    15.00000     3.15332     3.14679     3.17219
    20.00000     3.20821     3.20428     3.21928
    25.00000     3.23963     3.23690     3.24709
    30.00000     3.26311     3.26104     3.26861
    40.00000     3.30457     3.30314     3.30812
    50.00000     3.34862     3.34748     3.35128
    60.00000     3.39957     3.39859     3.40176
    70.00000     3.45931     3.45842     3.46123
    80.00000     3.52907     3.52822     3.53081
    90.00000     3.60994     3.60912     3.61158
   120.00000     3.93150     3.93070     3.93305
   150.00000     4.40677     4.40591     4.40840
   180.00000     5.10815     5.10716     5.11000
