              height              US1976            tropical  subtropical_summer  subtropical_winter    subarctic_summer    subarctic_winter
               0.000             288.150             300.000             294.000             272.200             287.000             257.100 
               1.000             281.650             294.027             290.124             268.700             281.700             259.688 
               2.000             275.150             289.039             284.938             265.216             276.400             257.308 
               3.000             268.650             284.702             279.003             262.307             271.101             255.040 
               4.000             262.150             277.288             273.021             255.689             265.878             246.867 
               5.000             255.650             270.600             267.147             249.700             259.878             240.631 
               6.000             249.150             263.900             261.941             243.700             252.988             234.002 
               7.000             242.650             257.200             254.673             237.700             245.990             227.249 
               8.000             236.150             250.500             248.239             231.701             238.990             220.497 
               9.000             229.650             243.800             241.750             225.727             231.991             217.101 
              10.000             223.151             237.100             235.251             220.740             225.718             217.066 
              11.000             217.326             230.400             228.752             219.225             224.991             217.066 
              12.000             216.651             223.700             222.281             218.700             224.990             217.066 
              13.000             216.650             217.000             216.878             218.200             224.990             217.066 
              14.000             216.650             210.300             215.781             217.700             224.990             217.066 
              15.000             216.650             203.600             215.752             217.200             224.990             217.066 
              16.000             216.650             196.935             215.751             216.701             224.990             216.747 
              17.000             216.650             195.606             215.751             216.205             224.990             216.166 
              18.000             216.650             199.550             215.751             215.732             224.990             215.566 
              19.000             216.650             203.550             216.957             215.373             224.990             214.966 
              20.000             216.650             207.547             218.151             215.232             224.990             214.366 
              21.000             217.626             211.423             219.351             215.205             224.990             213.766 
              22.000             218.561             214.593             220.551             215.201             224.990             213.167 
              23.000             219.552             216.849             221.750             215.200             224.990             212.571 
              24.000             220.550             219.050             222.940             215.200             226.479             212.004 
              25.000             221.550             221.250             224.075             215.200             227.803             211.574 
              26.000             222.550             223.450             224.935             215.625             229.192             212.467 
              27.000             223.550             225.650             227.615             216.004             230.590             213.379 
              28.000             224.550             227.850             229.760             216.400             231.990             214.359 
              29.000             225.549             230.050             231.952             216.800             233.387             215.303 
              30.000             226.543             232.250             234.151             217.196             234.771             216.019 
              31.000             227.497             234.450             236.351             217.575             236.061             217.578 
              32.000             228.251             236.650             238.551             217.861             238.320             218.766 
              33.000             231.259             238.850             240.749             221.378             240.979             219.955 
              34.000             233.894             241.050             242.931             224.425             243.920             221.090 
              35.000             236.628             243.250             245.012             227.603             246.911             221.950 
              36.000             239.375             245.450             246.589             230.800             249.909             224.948 
              37.000             242.125             247.650             249.870             234.000             252.907             227.378 
              38.000             244.875             249.850             252.353             237.200             255.903             229.868 
              39.000             247.625             252.050             254.849             240.400             258.890             232.366 
              40.000             250.375             254.250             257.346             243.600             261.856             234.866 
              41.000             253.125             256.449             259.840             246.799             264.764             237.366 
              42.000             255.875             258.647             262.326             249.989             267.529             239.866 
              43.000             258.625             260.830             264.795             253.122             269.970             242.366 
              44.000             261.373             262.910             267.226             255.899             271.831             244.866 
              45.000             264.114             264.487             269.580             258.549             273.889             247.366 
              46.000             266.794             266.174             271.777             260.361             275.018             249.866 
              47.000             269.115             267.239             273.692             261.993             275.898             252.363 
              48.000             270.363             268.247             275.185             263.585             276.664             254.843 
              49.000             270.670             269.241             276.192             265.098             277.364             257.207 
              50.000             270.717             270.186             276.777             266.245             277.925             259.000 
              51.000             270.724             270.903             274.066             264.784             275.240             258.963 
              52.000             268.713             268.209             271.226             263.169             272.255             258.437 
              53.000             266.270             265.615             268.295             261.396             269.002             257.762 
              54.000             263.567             262.845             265.326             259.599             265.709             257.065 
              55.000             260.824             260.049             262.340             257.800             262.410             256.366 
              56.000             258.075             257.250             259.346             256.000             259.110             255.666 
              57.000             255.325             254.450             256.349             254.200             255.810             254.966 
              58.000             252.575             251.650             253.350             252.400             252.510             254.266 
              59.000             249.825             248.850             250.351             250.600             249.210             253.566 
              60.000             247.075             246.050             247.351             248.800             245.910             252.866 
              61.000             244.325             243.250             244.351             247.000             242.610             252.166 
              62.000             241.575             240.450             241.351             245.200             239.310             251.466 
              63.000             238.825             237.650             238.351             243.400             236.011             250.766 
              64.000             236.075             234.850             235.351             241.600             232.712             250.066 
              65.000             233.325             232.050             232.351             239.800             229.419             249.366 
              66.000             230.575             229.250             229.352             238.000             226.144             248.666 
              67.000             227.825             226.453             226.355             236.200             222.938             247.967 
              68.000             225.076             223.675             223.378             234.402             219.965             247.272 
              69.000             222.331             221.028             220.542             232.616             217.617             246.610 
              70.000             219.620             219.020             218.391             230.914             216.078             246.109 
