        #psi         h0.         h1.        h10.       h100.      h1000.     h10000.        h-1.       h-10.      h-100.     h-1000.    h-10000.
    1.00E-06    2.20E+00    4.51E+06   46.13E+03  461.37E+00    4.61E+00   46.14E-03   -4.51E+06  -46.13E+03 -461.37E+00   -4.61E+00  -46.14E-03
    1.04E-06    2.30E+00    4.70E+06   48.12E+03  481.32E+00    4.81E+00   48.13E-03   -4.70E+06  -48.12E+03 -481.32E+00   -4.81E+00  -48.13E-03
    1.09E-06    4.79E+00    4.91E+06   50.20E+03  502.14E+00    5.02E+00   50.21E-03   -4.91E+06  -50.20E+03 -502.14E+00   -5.02E+00  -50.21E-03
    1.14E-06    5.00E+00    5.12E+06   52.37E+03  523.85E+00    5.24E+00   52.39E-03   -5.12E+06  -52.37E+03 -523.85E+00   -5.24E+00  -52.39E-03
    1.18E-06    5.21E+00    5.34E+06   54.64E+03  546.51E+00    5.47E+00   54.65E-03   -5.34E+06  -54.64E+03 -546.51E+00   -5.47E+00  -54.65E-03
    1.24E-06    5.44E+00    5.57E+06   57.00E+03  570.14E+00    5.70E+00   57.01E-03   -5.57E+06  -57.00E+03 -570.14E+00   -5.70E+00  -57.01E-03
    1.29E-06    5.67E+00    5.81E+06   59.47E+03  594.79E+00    5.95E+00   59.48E-03   -5.81E+06  -59.47E+03 -594.79E+00   -5.95E+00  -59.48E-03
    1.34E-06    5.92E+00    6.06E+06   62.04E+03  620.51E+00    6.21E+00   62.05E-03   -6.06E+06  -62.04E+03 -620.51E+00   -6.21E+00  -62.05E-03
    1.40E-06    2.18E+00    6.18E+06   64.70E+03  647.35E+00    6.47E+00   64.73E-03   -6.18E+06  -64.70E+03 -647.35E+00   -6.47E+00  -64.73E-03
    1.46E-06    2.28E+00    6.45E+06   67.50E+03  675.34E+00    6.75E+00   67.53E-03   -6.45E+06  -67.50E+03 -675.34E+00   -6.75E+00  -67.53E-03
    1.53E-06    2.38E+00    6.73E+06   70.42E+03  704.54E+00    7.05E+00   70.45E-03   -6.73E+06  -70.42E+03 -704.54E+00   -7.05E+00  -70.45E-03
    1.59E-06    2.48E+00    7.02E+06   73.47E+03  735.01E+00    7.35E+00   73.50E-03   -7.02E+06  -73.47E+03 -735.01E+00   -7.35E+00  -73.50E-03
    1.66E-06    3.88E+00    7.32E+06   76.64E+03  766.80E+00    7.67E+00   76.68E-03   -7.32E+06  -76.64E+03 -766.80E+00   -7.67E+00  -76.68E-03
    1.73E-06    4.05E+00    7.64E+06   79.96E+03  799.96E+00    8.00E+00   80.00E-03   -7.64E+06  -79.96E+03 -799.96E+00   -8.00E+00  -80.00E-03
    1.81E-06    4.22E+00    7.97E+06   83.42E+03  834.55E+00    8.35E+00   83.46E-03   -7.97E+06  -83.42E+03 -834.55E+00   -8.35E+00  -83.46E-03
    1.89E-06    3.20E+00    8.13E+06   87.00E+03  870.64E+00    8.71E+00   87.06E-03   -8.13E+06  -87.00E+03 -870.64E+00   -8.71E+00  -87.06E-03
    1.97E-06    3.33E+00    8.48E+06   90.77E+03  908.29E+00    9.08E+00   90.83E-03   -8.48E+06  -90.77E+03 -908.29E+00   -9.08E+00  -90.83E-03
    2.05E-06    4.35E+00    8.85E+06   94.69E+03  947.57E+00    9.48E+00   94.76E-03   -8.85E+06  -94.69E+03 -947.57E+00   -9.48E+00  -94.76E-03
    2.14E-06    4.54E+00    9.23E+06   98.79E+03  988.54E+00    9.89E+00   98.85E-03   -9.23E+06  -98.79E+03 -988.54E+00   -9.89E+00  -98.85E-03
    2.24E-06    3.07E+00    9.42E+06  103.03E+03    1.03E+03   10.31E+00  103.13E-03   -9.42E+06 -103.03E+03   -1.03E+03  -10.31E+00 -103.13E-03
    2.33E-06    3.21E+00    9.82E+06  107.49E+03    1.08E+03   10.76E+00  107.59E-03   -9.82E+06 -107.49E+03   -1.08E+03  -10.76E+00 -107.59E-03
    2.43E-06    2.87E+00   10.03E+06  112.11E+03    1.12E+03   11.22E+00  112.24E-03  -10.03E+06 -112.11E+03   -1.12E+03  -11.22E+00 -112.24E-03
    2.54E-06    3.50E+00   10.46E+06  116.96E+03    1.17E+03   11.71E+00  117.10E-03  -10.46E+06 -116.96E+03   -1.17E+03  -11.71E+00 -117.10E-03
    2.65E-06    3.17E+00   10.68E+06  121.99E+03    1.22E+03   12.22E+00  122.16E-03  -10.68E+06 -121.99E+03   -1.22E+03  -12.22E+00 -122.16E-03
    2.76E-06    3.31E+00   11.14E+06  127.26E+03    1.27E+03   12.74E+00  127.44E-03  -11.14E+06 -127.26E+03   -1.27E+03  -12.74E+00 -127.44E-03
    2.88E-06    3.45E+00   11.62E+06  132.77E+03    1.33E+03   13.30E+00  132.95E-03  -11.62E+06 -132.77E+03   -1.33E+03  -13.30E+00 -132.95E-03
    3.01E-06    3.21E+00   11.87E+06  138.48E+03    1.39E+03   13.87E+00  138.70E-03  -11.87E+06 -138.48E+03   -1.39E+03  -13.87E+00 -138.70E-03
    3.14E-06    3.73E+00   12.38E+06  144.46E+03    1.45E+03   14.47E+00  144.70E-03  -12.38E+06 -144.46E+03   -1.45E+03  -14.47E+00 -144.70E-03
    3.27E-06    2.93E+00   12.39E+06  150.64E+03    1.51E+03   15.10E+00  150.96E-03  -12.39E+06 -150.64E+03   -1.51E+03  -15.10E+00 -150.96E-03
