        #psi         z0.         z1.        z10.       z100.      z1000.     z10000.        z-1.       z-10.      z-100.     z-1000.    z-10000.
    1.00E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
    1.04E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
    1.09E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
    1.14E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
    1.18E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
    1.24E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
    1.29E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
    1.34E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
    1.40E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
    1.46E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
    1.53E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
    1.59E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
    1.66E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
    1.73E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
