         height              T              g              p            rho
        0.00000      288.14999        9.80665     1013.25000        1.22501
        1.00000      281.64999        9.80357      898.74454        1.11165
        2.00000      275.14999        9.80050      794.95008        1.00650
        3.00000      268.64999        9.79742      701.08266        0.90913
        4.00000      262.14999        9.79435      616.39905        0.81913
        5.00000      255.64999        9.79128      540.19546        0.73612
        6.00000      249.14999        9.78821      471.80639        0.65970
        7.00000      242.64999        9.78514      410.60343        0.58950
        8.00000      236.14999        9.78207      355.99410        0.52517
        9.00000      229.65000        9.77900      307.42063        0.46635
       10.00000      223.15123        9.77594      264.35884        0.41270
       11.00000      217.32581        9.77287      226.31698        0.36278
       12.00000      216.65123        9.76981      192.83454        0.31007
       13.00000      216.65000        9.76675      163.48117        0.26288
       14.00000      216.64999        9.76369      137.85549        0.22167
       15.00000      216.64999        9.76063      115.58403        0.18586
       16.00000      216.64999        9.75758       96.32006        0.15488
       17.00000      216.64999        9.75452       79.74253        0.12823
       18.00000      216.64999        9.75147       65.55492        0.10541
       19.00000      216.64999        9.74842       53.48425        0.08600
       20.00000      216.64999        9.74537       43.27991        0.06959
       21.00000      217.62648        9.74232       34.71263        0.05557
       22.00000      218.56106        9.73927       27.57347        0.04395
       23.00000      219.55151        9.73623       21.67271        0.03439
       24.00000      220.55020        9.73318       16.83887        0.02660
       25.00000      221.55002        9.73014       12.91765        0.02031
       26.00000      222.54999        9.72710        9.77096        0.01530
       27.00000      223.54998        9.72406        7.27592        0.01134
       28.00000      224.54986        9.72102        5.32385        0.00826
       29.00000      225.54898        9.71798        3.81934        0.00590
       30.00000      226.54255        9.71494        2.67929        0.00412
       31.00000      227.49745        9.71191        1.83192        0.00281
       32.00000      228.25092        9.70887        1.21595        0.00186
       33.00000      231.25885        9.70584        0.77958        0.00117
       34.00000      233.89435        9.70281        0.47969        0.00071
       35.00000      236.62764        9.69978        0.28091        0.00041
       36.00000      239.37535        9.69676        0.15481        0.00023
       37.00000      242.12504        9.69373        0.07905        0.00011
       38.00000      244.87500        9.69070        0.03657        0.00005
       39.00000      247.62500        9.68768        0.01482        0.00002
       40.00000      250.37500        9.68466        0.00497        0.00001
       41.00000      253.12499        9.68164        0.00125        0.00000
       42.00000      255.87497        9.67862        0.00019        0.00000
       43.00000      258.62479        9.67560        0.00001        0.00000
       44.00000      261.37347        9.67259        0.00000        0.00000
       45.00000      264.11373        9.66957            NaN            NaN
       46.00000      266.79383        9.66656            NaN            NaN
       47.00000      269.11473        9.66354            NaN            NaN
       48.00000      270.36299        9.66053            NaN            NaN
       49.00000      270.67006        9.65752            NaN            NaN
       50.00000      270.71744        9.65452            NaN            NaN
       51.00000      270.72397        9.65151            NaN            NaN
       52.00000      268.71285        9.64851            NaN            NaN
       53.00000      266.27005        9.64550            NaN            NaN
       54.00000      263.56744        9.64250            NaN            NaN
       55.00000      260.82398        9.63950            NaN            NaN
       56.00000      258.07487        9.63650            NaN            NaN
       57.00000      255.32499        9.63350            NaN            NaN
       58.00000      252.57500        9.63050            NaN            NaN
       59.00000      249.82500        9.62751            NaN            NaN
       60.00000      247.07500        9.62452            NaN            NaN
       61.00000      244.32500        9.62152            NaN            NaN
       62.00000      241.57500        9.61853            NaN            NaN
       63.00000      238.82500        9.61554            NaN            NaN
       64.00000      236.07500        9.61255            NaN            NaN
       65.00000      233.32501        9.60957            NaN            NaN
       66.00000      230.57502        9.60658            NaN            NaN
       67.00000      227.82512        9.60360            NaN            NaN
       68.00000      225.07584        9.60061            NaN            NaN
